problem.name;solver.name;randomGenerator.seed;problem.target;solver.mapper.grammar.name;state→n.iterations;individual→solution→grid.compactness;individual→solution→grid.elongation;individual→bin[solution→grid.compactness];individual→bin[solution→grid.elongation];"individual→solution→grid.h→[f.gridFitW(), f.gridFitH(), f.gridString(byRows = true; elementF = f.toString(); yMirror = true)]"
shape-circle;me;1;circle;worm;200;1.00000e+00;7.27273e-01;9;4;"{11;3}{a;a;a;a;a;a;a;a;i;i;a;a;a;a;a;a;a;a;a;a;i;a;a;a;g;i;a;a;a;a;a;a;i}"
shape-circle;me;1;circle;worm;200;1.00000e+00;6.66667e-01;9;3;"{9;3}{a;a;a;a;a;a;a;i;a;a;a;a;a;a;a;a;a;a;a;a;h;a;a;a;a;a;a}"
shape-circle;me;1;circle;worm;200;1.00000e+00;8.33333e-01;9;6;"{12;2}{a;a;a;a;a;a;a;a;a;a;i;a;a;f;a;i;a;a;a;a;a;a;a;a}"
shape-circle;me;1;circle;worm;200;1.00000e+00;5.71429e-01;9;1;"{7;3}{a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a}"
shape-circle;me;1;circle;worm;200;1.00000e+00;4.00000e-01;9;0;"{5;3}{a;a;a;a;a;a;a;a;a;i;a;a;a;a;a}"
shape-circle;me;1;circle;worm;200;1.00000e+00;2.50000e-01;9;0;"{4;3}{a;a;a;a;a;a;a;a;a;a;a;a}"
shape-circle;me;1;circle;worm;200;1.00000e+00;9.23077e-01;9;8;"{13;1}{a;a;a;a;i;a;a;i;i;a;a;a;a}"
shape-circle;me;1;circle;worm;200;1.00000e+00;0.00000e+00;9;0;"{3;3}{a;a;a;a;a;a;a;a;a}"
shape-circle;me;1;circle;worm;200;1.00000e+00;3.33333e-01;9;0;"{3;2}{a;a;a;a;a;a}"
shape-circle;me;1;circle;dog-shape;200;8.59375e-01;6.00000e-01;7;1;"{15;6}{;;;;h;;;h;;;h;;;;;;;;;a;a;;a;a;;a;a;;;;;h;h;h;a;a;;a;a;;a;a;;;;;a;a;;a;a;;a;a;;a;a;;;;s;h;s;s;h;s;s;h;s;s;h;s;s;s;;a;a;a;a;a;a;a;a;a;a;a;a;s;s;h}"
shape-circle;me;1;circle;dog-shape;200;8.46154e-01;6.00000e-01;6;1;"{15;6}{;;;;h;;;h;;;;;;;;;;;;a;a;;a;a;;h;h;h;;;;h;h;h;a;a;;a;a;;a;a;;;;;a;a;;a;a;;a;a;;a;a;;;;s;h;s;s;h;s;s;h;s;s;h;s;s;s;;a;a;a;a;a;a;a;a;a;a;a;a;s;s;h}"
shape-circle;me;1;circle;dog-shape;200;8.51852e-01;4.16667e-01;7;0;"{12;7}{;;;;h;;;;;;;;;;;;a;a;;h;;;;;;h;h;h;a;a;;a;a;;;;;a;a;;a;a;;a;a;;;;;a;a;;a;a;;a;a;;;;s;h;s;s;h;s;s;h;s;s;s;;a;a;a;a;a;a;a;a;a;s;s;a}"
shape-circle;me;1;circle;dog-shape;200;8.75000e-01;5.00000e-01;7;0;"{12;6}{;;;;h;;;;;;;;;h;h;h;a;a;;h;;;;;;a;a;;a;a;;a;a;;;;;a;a;;a;a;;a;a;;;;s;h;s;s;h;s;s;h;s;s;s;;a;a;a;a;a;a;a;a;a;s;s;a}"
shape-circle;me;1;circle;dog-shape;200;8.47458e-01;5.00000e-01;6;0;"{14;7}{;;;;;;h;;;;;;;;;;;;;;a;a;;;;;;;;;;h;h;h;a;a;;;;;;;;;;a;a;;a;a;;h;h;h;h;h;;;;a;a;;a;a;;a;a;;;;s;s;s;h;s;s;h;s;s;h;s;s;s;;a;a;a;a;a;a;a;a;a;a;a;s;s;h}"
shape-circle;me;1;circle;dog-shape;200;8.21429e-01;4.16667e-01;6;0;"{12;7}{;;;;h;;;;;;;;;h;;;a;a;;;;;;;;a;a;;a;a;;h;h;h;;;;a;a;;a;a;;a;a;;;;;a;a;;a;a;;a;a;;;;s;h;s;s;h;s;s;h;s;s;s;;a;a;a;a;a;a;a;a;a;s;s;a}"
shape-circle;me;1;circle;dog-shape;200;8.87097e-01;7.05882e-01;7;4;"{17;5}{;;;;h;h;h;h;h;h;h;;;;;;;;h;;;a;a;;h;h;h;h;h;h;;;;;;a;a;;a;a;;a;a;;a;a;;;;;;s;h;s;s;h;s;s;h;s;s;h;s;s;s;;;;a;a;a;a;a;a;a;a;a;a;a;a;s;s;h;h;h}"
shape-circle;me;1;circle;dog-shape;200;8.57143e-01;3.33333e-01;7;0;"{12;8}{;;;;h;;;;;;;;;;;;a;a;;;;;;;;;;;a;a;;h;;;;;;h;h;h;a;a;;a;a;;;;;a;a;;a;a;;a;a;;;;;a;a;;a;a;;a;a;;;;s;h;s;s;h;s;s;h;s;s;s;;a;a;a;a;a;a;a;a;a;s;s;a}"
shape-circle;me;1;circle;dog-shape;200;9.01961e-01;5.71429e-01;8;1;"{14;6}{;;;;;;;;;h;;;;;;;;;;;h;h;h;a;a;;;;;;;h;h;h;a;a;;a;a;;;;;;;a;a;;a;a;;a;a;;;;s;s;s;h;s;s;h;s;s;h;s;s;s;;a;a;a;a;a;a;a;a;a;a;a;s;s;a}"
shape-circle;me;1;circle;dog-shape;200;8.07018e-01;3.33333e-01;6;0;"{12;8}{;;;;h;;;;;;;;;;;;a;a;;;;;;;;h;;;a;a;;;;;;;;a;a;;a;a;;h;;;;;;a;a;;a;a;;a;a;;;;;a;a;;a;a;;a;a;;;;s;h;s;s;h;s;s;h;s;s;s;;a;a;a;a;a;a;a;a;a;s;s;a}"
shape-circle;me;1;circle;dog-shape;200;9.34783e-01;7.33333e-01;8;4;"{15;4}{;h;;;h;;;h;h;h;h;;;;;;a;a;;a;a;;a;a;;a;a;;;;s;h;s;s;h;s;s;h;s;s;h;s;s;s;;a;a;a;a;a;a;a;a;a;a;a;a;s;s;h}"
shape-circle;me;1;circle;dog-shape;200;9.16667e-01;6.87500e-01;8;3;"{16;5}{;;;;;;h;;;;;;;;;;;;;h;h;h;a;a;;h;;;;;;;;;;a;a;;a;a;;a;a;;;;;;s;s;s;h;s;s;h;s;s;h;s;s;s;s;s;;a;a;a;a;a;a;a;a;a;a;a;a;a;s;s;h}"
shape-circle;me;1;circle;dog-shape;200;8.47458e-01;2.50000e-01;6;0;"{12;9}{;;;;h;;;;;;;;;;;;a;a;;;;;;;;;;;a;a;;;;;;;;;;;a;a;;h;;;;;;h;h;h;a;a;;a;a;;;;;a;a;;a;a;;a;a;;;;;a;a;;a;a;;a;a;;;;s;h;s;s;h;s;s;h;s;s;s;;a;a;a;a;a;a;a;a;a;s;s;a}"
shape-circle;me;1;circle;dog-shape;200;7.79661e-01;5.71429e-01;5;1;"{14;6}{;;;;h;h;h;;;;;;;;;h;;;a;a;;;;;;;;;;a;a;;a;a;;h;h;h;h;h;h;h;;a;a;;a;a;;a;a;;;;;;s;h;s;s;h;s;s;h;s;s;s;;;;a;a;a;a;a;a;a;a;a;s;s;a;;}"
shape-circle;me;1;circle;dog-shape;200;7.93103e-01;4.16667e-01;5;0;"{12;7}{;;;;h;;;;;;;;;;;;a;a;;;;;;;;h;;;a;a;;h;h;h;h;h;;a;a;;a;a;;a;a;;;;;a;a;;a;a;;a;a;;;;s;h;s;s;h;s;s;h;s;s;s;;a;a;a;a;a;a;a;a;a;s;s;a}"
shape-circle;me;1;circle;dog-shape;200;8.57143e-01;2.50000e-01;7;0;"{12;9}{;;;;h;;;;;;;;;;;;a;a;;;;;;;;;;;a;a;;;;;;;;;;;a;a;;;;;;;;h;h;h;a;a;;h;;;;;;a;a;;a;a;;a;a;;;;;a;a;;a;a;;a;a;;;;s;h;s;s;h;s;s;h;s;s;s;;a;a;a;a;a;a;a;a;a;s;s;a}"
shape-circle;me;1;circle;dog-shape;200;7.97101e-01;6.47059e-01;5;2;"{17;6}{;;;;h;h;h;h;h;;;;;;;;;;h;;;a;a;;;;;h;;;;;;;;a;a;;a;a;;h;;;a;a;;;;;;;a;a;;a;a;;a;a;;a;a;;;;;;s;h;s;s;h;s;s;h;s;s;h;s;s;s;;;;a;a;a;a;a;a;a;a;a;a;a;a;s;s;h;h;h}"
shape-circle;me;1;circle;dog-shape;200;9.11111e-01;4.61538e-01;8;0;"{13;7}{;;;;h;;;;;;;;;;;;;a;a;;;;;;;;;h;h;h;a;a;;;;;;;;;a;a;;a;a;;;;;;;;;a;a;;a;a;;;;;;;;s;h;s;s;h;s;s;s;s;s;s;s;;a;a;a;a;a;a;a;a;a;a;s;s;h}"
shape-circle;me;1;circle;dog-shape;200;8.28125e-01;7.05882e-01;6;4;"{17;5}{;;;;h;h;h;;;;;;;;;;;;h;;;a;a;;h;h;h;h;h;h;h;h;h;h;;a;a;;a;a;;a;a;;a;a;;;;;;s;h;s;s;h;s;s;h;s;s;h;s;s;s;;;;a;a;a;a;a;a;a;a;a;a;a;a;s;s;a;;}"
shape-circle;me;1;circle;dog-shape;200;8.52459e-01;1.66667e-01;7;0;"{12;10}{;;;;h;;;;;;;;;;;;a;a;;;;;;;;;;;a;a;;;;;;;;;;;a;a;;;;;;;;;;;a;a;;h;;;;;;h;h;h;a;a;;a;a;;;;;a;a;;a;a;;a;a;;;;;a;a;;a;a;;a;a;;;;s;h;s;s;h;s;s;h;s;s;s;;a;a;a;a;a;a;a;a;a;s;s;a}"
shape-circle;me;1;circle;dog-shape;200;7.86885e-01;3.33333e-01;5;0;"{12;8}{;;;;h;;;;;;;;;;;;a;a;;;;;;;;;;;a;a;;;;;;;;h;;;a;a;;h;h;h;h;h;;a;a;;a;a;;a;a;;;;;a;a;;a;a;;a;a;;;;s;h;s;s;h;s;s;h;s;s;s;;a;a;a;a;a;a;a;a;a;s;s;a}"
shape-circle;me;1;circle;dog-shape;200;8.25397e-01;1.66667e-01;6;0;"{12;10}{;;;;h;;;;;;;;;;;;a;a;;;;;;;;;;;a;a;;;;;;;;;;;a;a;;;;;;;;h;;;a;a;;;;;;;;a;a;;a;a;;;;;;;;a;a;;a;a;;h;h;h;h;h;;a;a;;a;a;;a;a;;;;s;h;s;s;h;s;s;h;s;s;s;;a;a;a;a;a;a;a;a;a;s;s;h}"
shape-circle;me;1;circle;dog-shape;200;9.14894e-01;3.84615e-01;8;0;"{13;8}{;;;;h;;;;;;;;;;;;;a;a;;;;;;;;;;;;a;a;;;;;;;;;h;h;h;a;a;;;;;;;;;a;a;;a;a;;;;;;;;;a;a;;a;a;;;;;;;;s;h;s;s;h;s;s;s;s;s;s;s;;a;a;a;a;a;a;a;a;a;a;s;s;h}"
shape-circle;me;1;circle;dog-shape;200;9.50000e-01;7.14286e-01;9;4;"{14;4}{;h;h;h;h;;;;;h;;;;;;a;a;;a;a;;;;a;a;;;;s;h;s;s;h;s;s;s;s;h;s;s;s;;a;a;a;a;a;a;a;a;a;a;a;s;s;h}"
shape-circle;me;1;circle;dog-shape;200;7.93651e-01;2.50000e-01;5;0;"{12;9}{;;;;h;;;;;;;;;;;;a;a;;;;;;;;;;;a;a;;;;;;;;;;;a;a;;;;;;;;h;;;a;a;;h;h;h;h;h;;a;a;;a;a;;a;a;;;;;a;a;;a;a;;a;a;;;;s;h;s;s;h;s;s;h;s;s;s;;a;a;a;a;a;a;a;a;a;s;s;a}"
shape-circle;me;1;circle;dog-shape;200;7.38462e-01;5.71429e-01;4;1;"{14;6}{;;;;h;;;;;;;;;;;h;;;a;a;;h;h;h;h;h;h;h;;a;a;;a;a;;a;a;;;;;;;a;a;;a;a;;a;a;;;;;;s;h;s;s;h;s;s;h;s;s;s;;;;a;a;a;a;a;a;a;a;a;s;s;h;h;h}"
shape-circle;me;1;circle;dog-shape;200;7.36842e-01;4.28571e-01;4;0;"{14;8}{;;;;;;h;h;h;h;h;;;;;;;;;;a;a;;;;;;;;;;;;;a;a;;;;;;;;;;h;;;a;a;;h;h;h;h;h;;;;a;a;;a;a;;a;a;;;;;;;a;a;;a;a;;a;a;;;;s;s;s;h;s;s;h;s;s;h;s;s;s;;a;a;a;a;a;a;a;a;a;a;a;s;s;h}"
shape-circle;me;1;circle;dog-shape;200;7.32143e-01;6.15385e-01;4;2;"{13;5}{;;;;h;h;h;h;h;h;h;h;h;;h;;;a;a;;;;;;;;;a;a;;a;a;;;;;;;;s;h;s;s;h;s;s;s;s;s;s;s;;a;a;a;a;a;a;a;a;a;a;s;s;h}"
shape-circle;me;1;circle;dog-shape;200;8.86364e-01;1.00000e-01;7;0;"{9;9}{;;;;h;;;;;;;;;a;a;;;;;;;;a;a;;;;;h;h;h;a;a;;;;;a;a;;a;a;;;;;a;a;;a;a;;;;;a;a;;a;a;;;;s;h;s;s;h;s;s;s;;a;a;a;a;a;a;s;s;h}"
shape-circle;me;1;circle;dog-shape;200;9.70588e-01;6.92308e-01;9;3;"{13;4}{;h;h;h;h;;;;;;;;;;a;a;;a;a;;;;;;;;s;h;s;s;h;s;s;s;s;s;s;s;;a;a;a;a;a;a;a;a;a;a;s;s;h}"
shape-circle;me;1;circle;dog-shape;200;9.01961e-01;2.50000e-01;8;0;"{12;9}{;;;;h;h;h;;;;;;;;;;a;a;;;;;;;;;;;a;a;;;;;;;;;;;a;a;;;;;;;;;;;a;a;;;;;;;;h;h;h;a;a;;h;;;;;;a;a;;a;a;;a;a;;;;s;h;s;s;h;s;s;h;s;s;s;;a;a;a;a;a;a;a;a;a;s;s;h}"
shape-circle;me;1;circle;dog-shape;200;9.50000e-01;5.00000e-01;9;0;"{14;7}{;;;;;h;h;h;;;;;;;;;;;;a;a;;;;;;;;;;;;;a;a;;;;;;;;;;;;;a;a;;;;;;;;;;;;;a;a;;;;;;;;s;s;s;s;s;h;s;s;s;s;s;s;s;;a;a;a;a;a;a;a;a;a;a;a;s;s;a}"
shape-circle;me;1;circle;dog-shape;200;7.94118e-01;7.22222e-01;5;4;"{18;5}{;;;h;;;h;;;h;h;h;h;h;h;h;h;h;;;;a;a;;a;a;;a;a;;;;;;;;;;;a;a;;a;a;;a;a;;;;;;;;s;s;s;h;s;s;h;s;s;h;s;s;s;s;s;;;;a;a;a;a;a;a;a;a;a;a;a;a;a;s;s;a;;}"
shape-circle;me;1;circle;dog-shape;200;6.94444e-01;5.00000e-01;3;0;"{14;7}{;;;;h;h;h;h;h;h;h;;;;;;;;a;a;;;;;;;;;;;;;a;a;;;;;;;;;;h;;;a;a;;h;h;h;h;h;h;h;;a;a;;a;a;;a;a;;;;;;s;h;s;s;h;s;s;h;s;s;s;;;;a;a;a;a;a;a;a;a;a;s;s;h;;}"
shape-circle;me;1;circle;dog-shape;200;7.37705e-01;7.05882e-01;4;4;"{17;5}{;;;;h;h;h;h;h;h;h;h;h;h;h;h;h;;h;;;a;a;;;;;;;;;;;;;a;a;;a;a;;;;;;;;;;;;s;h;s;s;h;s;s;s;s;s;s;s;;;;;;a;a;a;a;a;a;a;a;a;a;s;s;h;;;;}"
shape-circle;me;1;circle;dog-shape;200;9.52381e-01;3.57143e-01;9;0;"{14;9}{;;;;;h;;;;;;;;;;;;;;a;a;;;;;;;;;;;;;a;a;;;;;;;;;;;;;a;a;;;;;;;;;;;;;a;a;;;;;;;;;;;;;a;a;;;;;;;;;;;;;a;a;;;;;;;;s;s;s;s;s;h;s;s;s;s;s;s;s;;a;a;a;a;a;a;a;a;a;a;a;s;s;a}"
shape-circle;me;1;circle;dog-shape;200;9.52381e-01;4.28571e-01;9;0;"{14;8}{;;;;;h;h;h;;;;;;;;;;;;a;a;;;;;;;;;;;;;a;a;;;;;;;;;;;;;a;a;;;;;;;;;;;;;a;a;;;;;;;;;;;;;a;a;;;;;;;;s;s;s;s;s;h;s;s;s;s;s;s;s;;a;a;a;a;a;a;a;a;a;a;a;s;s;a}"
shape-circle;me;1;circle;dog-shape;200;9.41176e-01;8.00000e-01;8;6;"{20;4}{;;;h;h;h;h;;;h;;;;;;;;;;;;;;a;a;;a;a;;a;a;;;;;;;;;;s;s;s;h;s;s;h;s;s;h;s;s;s;s;s;s;s;;;;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;s;s;h;h;a}"
shape-circle;me;1;circle;dog-shape;200;8.96552e-01;8.00000e-01;7;6;"{20;4}{;h;;;h;h;h;h;h;h;h;h;;;;;;;;;;a;a;;a;a;;;;a;a;;;;;;;;;;s;h;s;s;h;s;s;s;s;h;s;s;s;s;s;s;s;;;;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;s;s;h;h;a}"
shape-circle;me;1;circle;dog-shape;200;9.05660e-01;1.66667e-01;8;0;"{12;10}{;;;;h;h;h;;;;;;;;;;a;a;;;;;;;;;;;a;a;;;;;;;;;;;a;a;;;;;;;;;;;a;a;;;;;;;;;;;a;a;;;;;;;;h;h;h;a;a;;h;;;;;;a;a;;a;a;;a;a;;;;s;h;s;s;h;s;s;h;s;s;s;;a;a;a;a;a;a;a;a;a;s;s;a}"
shape-circle;me;1;circle;dog-shape;200;1.00000e+00;8.46154e-01;9;6;"{13;2}{s;s;s;s;s;s;s;s;s;s;s;s;;a;a;a;a;a;a;a;a;a;a;s;s;a}"
shape-circle;me;1;circle;dog-shape;200;7.14286e-01;3.07692e-01;4;0;"{11;9}{;h;h;h;;;;;;;;;a;a;;;;;;;;;;a;a;;;;h;;;;;;a;a;;;;a;a;;;;;a;a;;;;a;a;;;;;a;a;;;;a;a;;;;;a;a;;;;a;a;;;;s;h;s;s;s;s;h;s;s;s;;a;a;a;a;a;a;a;a;s;s;h}"
shape-circle;me;1;circle;dog-shape;200;8.24561e-01;9.09091e-02;6;0;"{11;10}{;;;h;;;;;;;;;;;a;a;;;;;;;;;;a;a;;;;;;;;;;a;a;;;;;;;;;;a;a;;h;h;h;h;h;;;;a;a;;a;a;;;;;;;a;a;;a;a;;;;;;;a;a;;a;a;;;;s;s;s;h;s;s;h;s;s;s;;a;a;a;a;a;a;a;a;s;s;h}"
shape-circle;me;1;circle;dog-shape;200;6.91358e-01;6.25000e-01;3;2;"{16;6}{;;;;h;h;h;h;h;h;h;h;h;h;h;;;h;;;a;a;;;;;;;;;;;;a;a;;a;a;;h;;;;;;;;;;a;a;;a;a;;a;a;;;;;;;;s;h;s;s;h;s;s;h;s;s;s;s;s;s;s;;a;a;a;a;a;a;a;a;a;a;a;a;a;s;s;h}"
shape-circle;me;1;circle;dog-shape;200;7.32143e-01;2.72727e-01;4;0;"{11;8}{;h;h;h;;;;;;;;;a;a;;;;;;;;;;a;a;;;;h;;;;;;a;a;;;;a;a;;;;;a;a;;;;a;a;;;;;a;a;;;;a;a;;;;s;h;s;s;s;s;h;s;s;s;;a;a;a;a;a;a;a;a;s;s;h}"
shape-circle;me;1;circle;dog-shape;200;7.80000e-01;1.81818e-01;5;0;"{9;8}{;h;h;h;h;h;;;;;a;a;;;;;;;;a;a;;;;;;;;a;a;;h;h;h;;;;a;a;;a;a;;;;;a;a;;a;a;;;;s;h;s;s;h;s;s;s;;a;a;a;a;a;a;s;s;a}"
shape-circle;me;1;circle;dog-shape;200;9.60000e-01;2.50000e-01;9;0;"{8;6}{;h;h;h;;;;;;a;a;;;;;;;a;a;;;;;;;a;a;;;;;;s;h;s;s;s;s;s;;a;a;a;a;a;s;s;a}"
shape-circle;me;1;circle;dog-shape;200;6.84211e-01;4.28571e-01;3;0;"{14;8}{;;;;h;h;h;h;h;h;h;;;;;;;;a;a;;;;;;;;;;;;;a;a;;;;;;;;;;;;;a;a;;;;;;;;;;h;;;a;a;;h;h;h;h;h;h;h;;a;a;;a;a;;a;a;;;;;;s;h;s;s;h;s;s;h;s;s;s;;;;a;a;a;a;a;a;a;a;a;s;s;h;;}"
shape-circle;me;1;circle;dog-shape;200;7.23077e-01;1.81818e-01;4;0;"{11;9}{;;;;;;h;;;;;;h;h;h;;;a;a;;;;;a;a;;;;a;a;;;;;a;a;;;;a;a;;;;;a;a;;;;a;a;;;;;a;a;;;;a;a;;;;;a;a;;;;a;a;;;;s;h;s;s;s;s;h;s;s;s;;a;a;a;a;a;a;a;a;s;s;h}"
shape-circle;me;1;circle;dog-shape;200;7.46032e-01;9.09091e-02;4;0;"{11;10}{;;;;;;h;;;;;;;;;;;a;a;;;;;;;;;;a;a;;;;;h;h;h;;;a;a;;;;;a;a;;;;a;a;;;;;a;a;;;;a;a;;;;;a;a;;;;a;a;;;;;a;a;;;;a;a;;;;s;h;s;s;s;s;h;s;s;s;;a;a;a;a;a;a;a;a;s;s;h}"
shape-circle;me;1;circle;dog-shape;200;6.42857e-01;4.28571e-01;2;0;"{14;8}{;;;;h;h;h;h;h;h;h;h;h;;;;;;a;a;;;;;;;;;;;;;a;a;;;;;;;;;;;;;a;a;;;;;;;;;;h;;;a;a;;h;h;h;h;h;h;h;;a;a;;a;a;;a;a;;;;;;s;h;s;s;h;s;s;h;s;s;s;;;;a;a;a;a;a;a;a;a;a;s;s;h;;}"
shape-circle;me;1;circle;dog-shape;200;9.52381e-01;1.42857e-01;9;0;"{6;6}{;h;h;h;;;;a;a;;;;;a;a;;;;;a;a;;;;s;h;s;s;s;;a;a;a;s;s;a}"
shape-circle;me;1;circle;dog-shape;200;6.38298e-01;5.83333e-01;2;1;"{12;5}{;h;h;h;h;h;h;h;h;h;h;h;;a;a;;;;;;;;;;;a;a;;;;;;;;;;s;h;s;s;s;;;;;;;;a;a;a;s;s;h;h;h;h;h;;}"
shape-circle;me;1;circle;dog-shape;200;8.26087e-01;8.00000e-01;6;6;"{20;4}{;;;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;;;;a;a;;;;;;;;;;;;;;;;s;s;s;h;s;s;s;s;s;;;;;;;;;;;;a;a;a;a;a;a;a;s;s;a;;;;;;;;;;}"
shape-circle;me;1;circle;dog-shape;200;7.93548e-01;8.06452e-01;5;6;"{31;6}{;;;;h;h;h;h;h;h;h;;;h;h;h;h;h;h;h;;;;;;;;;;;;;;;;a;a;;;;;;;;a;a;;h;;;h;h;h;h;h;;;;;;;;;h;;;a;a;;h;h;h;h;h;h;a;a;;a;a;;a;a;;h;h;h;h;h;h;h;h;h;;a;a;;a;a;;a;a;;a;a;;a;a;;a;a;;a;a;;a;a;;;;;;;;s;h;s;s;h;s;s;h;s;s;h;s;s;h;s;s;h;s;s;h;s;s;h;s;s;s;s;s;;;;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;s;s;h;h;h}"
shape-circle;me;1;circle;dog-shape;200;1.00000e+00;9.04762e-01;9;8;"{21;2}{s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;;;;;;a;a;a;a;a;a;a;a;a;a;a;a;a;a;s;s;h;h;h;h;h}"
shape-circle;me;1;circle;dog-shape;200;9.50000e-01;1.00000e-01;9;0;"{10;9}{;h;h;h;h;h;h;h;;;;a;a;;;;;;;;;a;a;;;;;;;;;a;a;;;;;;;;;a;a;;;;;;;;;a;a;;;;;;;;;a;a;;;;;;;;s;h;s;s;s;s;s;s;s;;a;a;a;a;a;a;a;s;s;h}"
shape-circle;me;1;circle;dog-shape;200;6.95652e-01;7.00000e-01;3;3;"{20;6}{;h;;;;;h;h;h;h;h;h;h;;;;;;;;;a;a;;;;a;a;;;;;;;;;;;;;;a;a;;;;a;a;;;;;;h;h;h;h;h;;;;a;a;;;;a;a;;;;;;a;a;;;;;;s;h;s;s;s;s;h;s;s;s;s;s;s;h;s;s;s;;;;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;s;s;h;h;a}"
shape-circle;me;1;circle;dog-shape;200;7.21591e-01;8.28571e-01;4;6;"{35;6}{;;;;;;;;;;;;;;;;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;;;;;h;h;h;;;;;;;h;h;h;a;a;;;;;;;;;;;;;;;;;;;h;;;a;a;;h;h;h;h;h;h;a;a;;a;a;;;;h;;;h;;;;;;;;;;;;a;a;;a;a;;a;a;;a;a;;a;a;;a;a;;;;a;a;;a;a;;;;;;;;;;s;h;s;s;h;s;s;h;s;s;h;s;s;h;s;s;h;s;s;s;s;h;s;s;h;s;s;s;s;s;s;s;s;s;;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;s;s;h}"
shape-circle;me;1;circle;dog-shape;200;9.30435e-01;9.02439e-01;8;8;"{41;4}{;;;;;;;;;;;;;;;h;h;h;h;h;h;h;h;h;h;h;h;;;h;;;h;;;;;;;;;;;;;;;;;;;;;;;;a;a;;a;a;;a;a;;a;a;;;;a;a;;a;a;;;;;;;;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;h;s;s;h;s;s;h;s;s;h;s;s;s;s;h;s;s;h;s;s;s;s;s;s;s;;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;s;s;a}"
shape-circle;me;1;circle;dog-shape;200;8.88268e-01;9.05660e-01;7;8;"{53;5}{;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;h;h;h;h;h;;;;;;;;;;;;h;;;;;;;;;;;;;;;;;;;;;;h;h;h;h;h;h;h;h;h;h;h;h;h;h;h;a;a;;h;;;h;h;h;h;h;h;h;h;;;a;a;;;;;;;;;;;;;;;;;;;;;a;a;;a;a;;a;a;;a;a;;a;a;;a;a;;a;a;;a;a;;a;a;;;;;;a;a;;;;;;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;h;s;s;h;s;s;h;s;s;h;s;s;h;s;s;h;s;s;h;s;s;h;s;s;h;s;s;s;s;s;s;h;s;s;s;s;s;;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;s;s;a}"
shape-circle;me;1;circle;dog-shape;200;8.42795e-01;9.07692e-01;6;8;"{65;6}{;;;;h;h;h;;;;;;;;;;;;;;;;;;;;;;;;;;;h;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;a;a;;;;;;;;;;;;;;;;;;;h;h;h;;;;;;;a;a;;;;h;h;h;h;h;h;h;;;h;;;;;;;;;;;;;;;;;;;h;;;a;a;;;;;;h;;;;;;;h;;;h;h;h;a;a;;h;h;h;h;h;h;a;a;;;;a;a;;;;;;;;a;a;;;;;;h;;;;;;;;;;;;a;a;;a;a;;;;;;a;a;;;;;;a;a;;a;a;;a;a;;a;a;;a;a;;a;a;;;;a;a;;;;;;;;a;a;;;;;;a;a;;;;;;;;;;s;h;s;s;h;s;s;s;s;s;s;h;s;s;s;s;s;s;h;s;s;h;s;s;h;s;s;h;s;s;h;s;s;h;s;s;s;s;h;s;s;s;s;s;s;s;s;h;s;s;s;s;s;s;h;s;s;s;s;s;s;s;;;;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;s;s;h;h;h}"
shape-dog;me;1;dog;dog-shape;200;7.62712e-01;5.38462e-01;5;0;"{13;6}{;;;h;h;h;;;h;h;h;h;h;;;;a;a;;;;a;a;;;;;;;a;a;;;;a;a;;;;;;;a;a;;;;a;a;;;;s;s;s;h;s;s;s;s;h;s;s;s;;a;a;a;a;a;a;a;a;a;a;s;s;a}"
shape-dog;me;1;dog;dog-shape;200;8.20000e-01;5.38462e-01;6;0;"{13;6}{;;;h;;;;;h;h;h;;;;;;a;a;;;;a;a;;;;;;;a;a;;;;a;a;;;;;;;a;a;;;;a;a;;;;s;s;s;h;s;s;s;s;h;s;s;s;;a;a;a;a;a;a;a;a;a;a;s;s;a}"
